epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.0286,0.65019,3.30296,1.03001,0.00601,1,0.31309,0.27769,0.4695,3.09453,0.85149,0.0002,0.0002,0.0002
2,22.4685,0.69643,2.39117,1.02061,0.47045,0.18855,0.38742,0.30631,0.57943,2.61289,0.95764,0.000403235,0.000403235,0.000403235
3,30.0214,0.65803,1.83596,0.99297,0.44774,0.75354,0.5095,0.43319,0.60003,1.83416,0.94101,0.00059954,0.00059954,0.00059954
4,38.5443,0.66475,1.62132,0.99545,0.51844,0.82309,0.54551,0.46393,0.62269,1.83007,0.99717,0.000788915,0.000788915,0.000788915
5,44.5929,0.6167,1.56449,0.97611,0.5072,0.79058,0.61751,0.52711,0.59431,1.60059,0.95728,0.000934,0.000934,0.000934
6,54.7485,0.61266,1.49979,0.96275,0.39085,0.79623,0.55769,0.45913,0.65836,1.69168,1.03444,0.0009175,0.0009175,0.0009175
7,60.7567,0.62337,1.44281,0.96881,0.57092,0.82099,0.70129,0.57601,0.59809,1.52327,1.0043,0.000901,0.000901,0.000901
8,68.4425,0.59268,1.30823,0.95736,0.56477,0.74601,0.68839,0.55251,0.68529,1.42869,1.05239,0.0008845,0.0008845,0.0008845
9,76.2989,0.58238,1.22746,0.94143,0.52452,0.84413,0.76638,0.6551,0.57865,1.21276,0.95355,0.000868,0.000868,0.000868
10,82.0896,0.58806,1.20683,0.94867,0.61858,0.822,0.71947,0.61752,0.57852,1.15778,0.90973,0.0008515,0.0008515,0.0008515
11,91.0649,0.5614,1.12646,0.95059,0.64285,0.84831,0.81294,0.68982,0.57044,1.12255,0.91218,0.000835,0.000835,0.000835
12,97.6618,0.55368,1.07043,0.93258,0.78066,0.8451,0.82341,0.70813,0.52891,0.9531,0.89719,0.0008185,0.0008185,0.0008185
13,104.283,0.54409,1.04795,0.93007,0.70546,0.85217,0.85625,0.73969,0.53454,0.99724,0.9081,0.000802,0.000802,0.000802
14,113.521,0.53307,0.9809,0.91881,0.80356,0.80012,0.86553,0.75238,0.51247,0.92592,0.89015,0.0007855,0.0007855,0.0007855
15,119.667,0.56295,0.9638,0.9431,0.85427,0.84222,0.90691,0.82312,0.46654,0.87361,0.85716,0.000769,0.000769,0.000769
16,128.505,0.50638,0.86641,0.9091,0.85185,0.8394,0.88392,0.80034,0.48627,0.81514,0.88656,0.0007525,0.0007525,0.0007525
17,135.339,0.52251,0.86038,0.91586,0.77675,0.89734,0.90783,0.80281,0.55444,0.9332,0.93412,0.000736,0.000736,0.000736
18,141.457,0.4926,0.86148,0.91815,0.92261,0.81655,0.94935,0.83736,0.46428,0.72328,0.86451,0.0007195,0.0007195,0.0007195
19,150.672,0.49948,0.83103,0.91462,0.86589,0.9543,0.9653,0.88118,0.43635,0.6292,0.86204,0.000703,0.000703,0.000703
20,156.752,0.47737,0.78681,0.91551,0.86494,0.75577,0.87922,0.77018,0.54134,0.9829,0.92387,0.0006865,0.0006865,0.0006865
21,164.788,0.50097,0.79376,0.92439,0.88419,0.91663,0.94782,0.8351,0.50153,0.68784,0.91239,0.00067,0.00067,0.00067
22,171.656,0.49086,0.76488,0.90925,0.93497,0.93172,0.9504,0.86205,0.44262,0.59775,0.87555,0.0006535,0.0006535,0.0006535
23,177.783,0.49735,0.73375,0.92164,0.88417,0.80187,0.89737,0.80839,0.49169,0.92206,0.89429,0.000637,0.000637,0.000637
24,187.458,0.48743,0.72284,0.89065,0.70716,0.773,0.82096,0.72134,0.46989,1.18364,0.91055,0.0006205,0.0006205,0.0006205
25,193.313,0.49202,0.74597,0.91754,0.81179,0.88308,0.93693,0.8058,0.5007,0.7578,0.90709,0.000604,0.000604,0.000604
26,200.344,0.4995,0.74442,0.92022,0.88594,0.83812,0.933,0.81305,0.50366,0.8281,0.90665,0.0005875,0.0005875,0.0005875
27,208.635,0.45177,0.67447,0.90375,0.91017,0.90577,0.96511,0.84908,0.48053,0.56509,0.90305,0.000571,0.000571,0.000571
28,214.569,0.47417,0.68407,0.90775,0.95455,0.91392,0.95968,0.84705,0.49676,0.60422,0.87921,0.0005545,0.0005545,0.0005545
29,222.97,0.47043,0.63561,0.90035,0.9542,0.91888,0.96139,0.85597,0.45877,0.58778,0.86605,0.000538,0.000538,0.000538
30,229.719,0.44021,0.61452,0.88606,0.93304,0.88039,0.96303,0.84604,0.48658,0.67601,0.89684,0.0005215,0.0005215,0.0005215
31,235.504,0.44291,0.61311,0.90179,0.9678,0.89506,0.94687,0.8631,0.44492,0.57738,0.87758,0.000505,0.000505,0.000505
32,245.11,0.45563,0.61762,0.89097,0.94364,0.89378,0.92758,0.8447,0.47126,0.62025,0.91253,0.0004885,0.0004885,0.0004885
33,250.995,0.43257,0.62228,0.89097,0.96698,0.90308,0.93789,0.83884,0.49447,0.58828,0.91666,0.000472,0.000472,0.000472
34,258.853,0.4273,0.59435,0.89344,0.9753,0.89432,0.9655,0.85197,0.47811,0.56362,0.89244,0.0004555,0.0004555,0.0004555
35,266.613,0.43331,0.59354,0.88929,0.92955,0.90682,0.97456,0.85638,0.48201,0.56381,0.86673,0.000439,0.000439,0.000439
36,272.452,0.44155,0.57985,0.90561,0.81085,0.94387,0.95481,0.86016,0.44483,0.62654,0.86338,0.0004225,0.0004225,0.0004225
37,282.14,0.44149,0.59134,0.90155,0.91879,0.94676,0.95967,0.87319,0.43182,0.5034,0.86645,0.000406,0.000406,0.000406
38,288.497,0.42898,0.56142,0.89488,0.9907,0.92235,0.96243,0.88513,0.4247,0.45825,0.85351,0.0003895,0.0003895,0.0003895
39,295.587,0.446,0.55192,0.89488,0.86985,0.93151,0.96557,0.89354,0.41388,0.57124,0.84918,0.000373,0.000373,0.000373
40,304.352,0.40086,0.51351,0.88627,0.95297,0.89827,0.97099,0.88933,0.42671,0.46328,0.86194,0.0003565,0.0003565,0.0003565
41,310.25,0.40822,0.53398,0.88292,0.92875,0.90822,0.96939,0.89189,0.41587,0.48977,0.86428,0.00034,0.00034,0.00034
42,319.599,0.39123,0.49669,0.8757,0.93932,0.93648,0.96844,0.88339,0.43059,0.4471,0.88195,0.0003235,0.0003235,0.0003235
43,326.524,0.41002,0.53986,0.88329,0.90949,0.96528,0.96742,0.86949,0.45569,0.44424,0.89771,0.000307,0.000307,0.000307
44,332.481,0.39526,0.50832,0.87382,0.94251,0.92315,0.96433,0.87204,0.42637,0.5199,0.86156,0.0002905,0.0002905,0.0002905
45,342.208,0.3898,0.48132,0.874,0.9518,0.92277,0.96289,0.87116,0.42626,0.50874,0.85289,0.000274,0.000274,0.000274
46,348.161,0.3765,0.48519,0.86887,0.96047,0.93705,0.96899,0.87402,0.42803,0.43601,0.85,0.0002575,0.0002575,0.0002575
47,355.222,0.40057,0.52974,0.89011,0.9519,0.94451,0.97269,0.87272,0.4479,0.42163,0.87176,0.000241,0.000241,0.000241
48,363.819,0.38482,0.48501,0.87038,0.92874,0.95732,0.97121,0.87395,0.43442,0.4073,0.87631,0.0002245,0.0002245,0.0002245
49,369.555,0.38984,0.48547,0.87882,0.93224,0.96251,0.97601,0.87432,0.43867,0.40941,0.86702,0.000208,0.000208,0.000208
50,377.912,0.39071,0.48734,0.8817,0.97977,0.96222,0.97455,0.87943,0.41376,0.39075,0.86474,0.0001915,0.0001915,0.0001915
51,386.736,0.3022,0.41127,0.80447,0.98707,0.95954,0.98389,0.88578,0.43027,0.38905,0.86126,0.000175,0.000175,0.000175
52,393.751,0.3032,0.40363,0.79058,0.95931,0.94973,0.98292,0.88987,0.39542,0.36595,0.848,0.0001585,0.0001585,0.0001585
53,402.123,0.30056,0.38385,0.80691,0.96131,0.95092,0.98239,0.9048,0.393,0.3611,0.85695,0.000142,0.000142,0.000142
54,407.761,0.28368,0.36001,0.80224,0.9626,0.95354,0.98639,0.91819,0.39279,0.3451,0.84886,0.0001255,0.0001255,0.0001255
55,416.117,0.28571,0.37769,0.7961,0.94665,0.93618,0.98563,0.9086,0.39697,0.37887,0.8478,0.000109,0.000109,0.000109
56,422.994,0.2867,0.36523,0.80445,0.96405,0.94232,0.97854,0.91062,0.39359,0.36659,0.85285,9.25e-05,9.25e-05,9.25e-05
57,428.656,0.28335,0.38122,0.80307,0.96702,0.94875,0.98192,0.9093,0.3987,0.36928,0.85386,7.6e-05,7.6e-05,7.6e-05
58,438.805,0.27663,0.36262,0.7925,0.95986,0.95309,0.98163,0.91005,0.39822,0.36919,0.85695,5.95e-05,5.95e-05,5.95e-05
59,444.527,0.27049,0.35081,0.79712,0.98272,0.95605,0.98567,0.90619,0.38962,0.35698,0.85419,4.3e-05,4.3e-05,4.3e-05
60,450.966,0.27005,0.3369,0.79102,0.98317,0.95192,0.98609,0.90906,0.38374,0.35033,0.85182,2.65e-05,2.65e-05,2.65e-05
